,count
42442898,7636
42442895,7561
42429900,7716
42429910,835
42429918,5114
9168918373,19877
587812665,19877
42424937,18573
42425088,7841
7616688918,7843
7732571915,3483
42438066,3475
42428863,3742
561035343,3763
42453717,3482
42442584,4147
7598970693,3039
42440144,2592
42432929,3096
42432931,1454
42432932,1579
42432933,1476
42435814,1181
1905863520,1470
42435825,1404
42429538,1087
42434113,842
42435837,784
42435844,1891
42439887,1905
2141026532,2482
3099327955,2268
42453258,2322
42434361,250
42445587,244
42435957,184
42454196,5014
42445748,4745
42444820,3905
42456076,3402
42442294,10480
1825841655,12277
1825841704,23788
1825841743,23736
1825841693,13234
4347550074,13419
42423674,18493
42430394,18809
4347534767,10598
5706568771,7955
596776021,4493
596776009,3886
596776027,3498
596776017,3560
596775973,4467
596775979,5548
42443349,2941
42421803,3283
42437300,3359
42433565,3248
42443280,5597
42421769,3908
42443347,4366
42428061,3735
42438862,4496
42428212,1871
42443403,4471
42447273,2509
42447275,208
42447278,171
42447281,207
42447285,253
42437916,434
42437917,1870
11803957851,1818
1061531654,3560
1061531717,3100
595314104,2929
561035330,2867
3579432156,3037
1506445808,2270
561035333,2129
561035334,2078
561035335,1839
627905367,1613
1506445762,1441
6223571524,1128
6223571522,1038
1504153604,1267
1506591536,918
470209122,194
42434175,2038
42430594,2652
596776260,4655
596776167,1634
596776173,1825
596776144,2787
596776177,1904
596776163,2546
596776156,2449
596776150,2041
596776103,1744
596776115,1785
42434160,4403
42438045,4239
42422000,4068
42437052,3832
42442492,2852
42442502,2653
42442514,2672
42436990,3467
42442528,2553
42442534,4635
42442542,4076
42433252,2823
42442549,2752
42442569,4673
42442571,2867
42437222,2697
6166969757,2869
1506445711,2542
42446072,5554
42444487,5362
42434166,5098
42446086,9319
42446093,6909
42446099,4759
42445256,4212
5542680310,10853
42447235,11805
42437436,11005
42431549,7719
42440020,9494
42440015,9711
42440012,10699
42440009,26424
42440004,22311
42439994,29324
42443336,5764
6207264908,9695
42432564,6907
42442445,4515
42442451,4601
42442459,4788
42428063,4024
42442463,6180
42421772,5037
42442469,5009
42433567,4253
42437305,4379
42454691,5390
42447132,2709
11337295608,25034
42440469,4886
42452882,4724
42436714,5743
42455963,4539
42448390,4514
42443618,7441
2711029280,6767
42456041,5745
42448326,7564
6177439749,7298
42436531,17423
42456049,16136
42429986,15838
42431661,15680
561035351,682
42434072,10464
42434974,4100
42455915,9001
42454010,4612
42445667,4267
12154055788,3878
12840833852,1813
42455929,5592
42442937,15668
4597668032,6314
42435705,15648
1815133244,7973
42445027,8710
42440163,7653
42432594,10493
42432598,8977
42445879,1934
42429896,15363
42446293,4828
42448745,3344
42449956,16008
42440463,17284
42449961,19329
42436707,17738
42449963,16712
42448379,16418
42443615,11465
42432856,12267
42437401,2034
12413032498,6276
6417761624,4386
42448707,21372
42436598,5261
42455897,9708
1632878994,4490
42436756,4556
42453187,5396
42445390,10834
42436754,6190
42442891,12169
42436590,11400
42442889,18094
42432861,6650
42436705,5234
4288677093,14233
42424089,6276
371037281,2070
42427477,11626
42436753,15068
42430253,24124
42430255,18520
42430259,24300
42430263,21507
42430265,20633
42430269,19653
42427423,19375
42430274,20768
42430279,21791
42430282,19803
42427797,19990
42430288,19588
42447126,2951
561042191,3801
596775882,8476
42436353,1833
42436355,3933
4616536351,2913
4616536352,922
4616536348,719
42423456,8137
4602414021,8102
42452015,8024
42440838,8201
4778174564,5478
