,count
42443613,10297
42432834,12251
596775935,10646
596775941,7174
42453395,5495
42444985,10394
427804211,157
373880031,7243
246858431,6950
3772840882,1739
42436187,2640
42436184,2614
42436181,1237
42446622,1366
42456888,890
42434412,2426
42422038,956
42422042,2315
42422050,680
42422053,1161
6262915548,2447
42444424,2331
42434418,1263
42429842,2145
42444414,2322
42425127,830
42438961,967
42453575,1077
42434948,5041
42445908,6116
42431030,4631
42431027,4712
42421776,5077
42431019,7137
42428068,2435
42431015,2659
42431009,2575
42431008,2647
42431007,2281
42431005,2414
42431004,4666
42431002,2582
42445885,4403
100522728,6928
596775867,10387
42432580,9693
42448257,948
42435522,802
42451766,643
42429348,716
42430861,7361
42455026,7036
42446521,7485
42434352,4287
42431453,1246
42449932,15061
42449685,14597
42449938,16069
42445661,13723
11337295601,13623
42431549,7904
42440020,9694
42440015,10199
42440012,10946
42440004,22887
42432585,25082
42439994,29725
561035351,514
42453187,5520
42445390,10912
42434974,4189
42455915,9099
42440163,7497
42421800,8709
42435308,9052
42433564,9186
42424225,7880
42435301,7254
42435295,7714
42435283,7810
42432556,7998
42435275,8842
42435272,8569
42445961,10145
42443807,1902
42443810,6120
42427300,840
42427305,569
42427307,479
42427311,666
42427316,1379
42427319,1151
42427322,1202
42427324,2852
42427327,3406
42430041,3756
42442247,3507
42445498,4953
42428268,792
42430075,9434
42454701,9098
42446093,6620
42446099,4483
42445256,4026
42436056,3121
42436055,1398
42436050,619
42430519,603
5812723036,550
42431617,1587
42436586,16136
4138911201,14447
42429896,15950
42449918,16293
42446275,16669
42436753,15927
42445413,16052
42449926,15083
42446932,9506
4616536351,2682
42442286,8343
42430102,2408
5815234915,3137
588593611,3192
246909454,2656
588593353,2695
4145735059,1170
205020852,1168
370880758,187
42421946,221
42428947,413
42428944,377
561035366,378
42442635,292
42443582,96
42432974,439
42431643,484
42432970,617
42432967,713
4205440426,753
42432963,1881
3639382769,1323
42436333,2221
42436335,3150
42428022,5129
42428020,9580
42428016,5164
42428015,5543
42443556,11875
42445310,7276
358447541,790
42435632,18241
42434810,20007
42435633,20326
42427812,21093
4443775464,21030
42445357,3830
42436322,753
42430571,823
42430529,640
42429833,836
42436326,892
42436327,1030
42436330,1814
588546882,1449
246923513,1626
42451375,1793
42431556,13509
42428212,1886
42430274,20642
42432679,1739
42429507,621
2824895141,900
42446478,8966
42436922,8798
42452956,6578
42443037,3751
13205862058,8792
13205862060,11763
42439006,4168
42439001,4348
42436947,1829
4597668033,5360
4597668043,6226
4597668031,6943
4597668042,5298
42453038,4268
42453059,1440
4143851144,3549
42428420,5227
1918039897,8956
42445511,12941
1692433916,14568
42445520,8949
42431165,16125
42439236,9786
42445543,14410
42449886,13874
42446533,18728
42436941,19834
42440729,22012
42431459,19217
42443513,12322
42436943,15203
42432861,6496
42440022,10494
42428329,15632
42443326,5487
42438498,3148
42438798,3657
42438795,8829
596776063,4689
4347550071,17294
4347550065,17325
42421969,7863
5706568625,8940
42435253,8941
4754091366,308
42428405,4554
42436404,3966
42436407,4134
42436484,2946
42445232,5028
42429688,3573
42447076,3056
42431678,3299
42447069,3885
42447060,5424
42429976,4552
42447030,4243
42436516,6832
42447020,6771
42447009,6098
42447007,4390
42432847,6060
42443614,3954
4862610026,4227
42446998,4607
42436705,5573
7801840675,5867
42424439,8475
42435328,6761
42435323,7131
42435319,7083
42435317,7160
1825841742,10838
1061531429,10622
1061531777,9367
1061531509,10161
1061531447,9019
42443313,4303
42430589,4601
42430253,22951
42449928,15419
42434959,14570
42424698,11011
587934347,11010
595352915,7387
60928432,7383
60927650,3405
7911307251,2512
60916849,2514
60916829,2501
595729853,2486
374482644,2484
374472690,2484
42441000,2542
42441007,2446
42441009,2428
595729838,1853
42429215,1657
42429216,1104
42429217,1054
42429220,966
42453349,95
13205862062,8964
13205862064,8679
13205862066,9026
42430898,16222
42442857,10170
42442848,10362
42437333,9362
42436751,9611
596799866,447
42428332,11722
42424408,193
42429890,9086
2302133933,7840
42436582,7814
42432693,11703
42454428,11987
42427423,19124
42453011,2187
11003445421,2199
1701844698,668
595105538,631
248708582,2035
595105472,4371
42453000,4473
42444055,4378
42434092,5491
42455932,2776
8482948064,9602
42446270,9485
9906953435,237
3786876211,142
42445027,8825
42428310,1848
42436541,3650
42444812,3966
42456578,3456
596776163,2140
42434439,4095
42450434,6471
1241742627,5806
1241742743,3322
2061592973,2388
42434821,6237
1061531807,3867
42430811,12955
4320028826,11804
42429986,15373
42431661,15097
42447084,2997
42435716,12459
587987721,2348
42445230,8663
42436481,7683
42439557,8524
42430056,4986
42454691,4925
42435504,5878
42458766,5111
42436396,4615
42430594,2289
5730369220,2188
246580466,3984
246579753,4887
373903786,4906
11049420899,4771
8288270047,4757
11027912161,4546
402480678,4546
42454328,11775
42454325,13778
4557517554,13589
42445910,6335
42452882,4441
42436714,5432
596775900,9010
42428782,1773
42441926,603
7785782284,539
42437223,510
42431193,419
5004570630,393
42434871,1296
42446994,10064
42448745,3169
42452814,2577
42444506,2221
42434179,2028
42428258,1217
596776057,3559
42436489,5401
6177439750,10438
6177439752,7578
596775946,8107
596775951,6907
596775907,7138
42440025,6086
1815133244,8034
42443561,10967
42444991,10242
42433625,10181
4207913309,9804
9807801426,2817
42430643,3308
42444049,8032
1733612450,982
42427991,8021
42427985,7733
42437445,5355
42442983,5957
5550244689,1206
5542680312,1153
42455200,6512
1919595928,3260
1919595927,4317
42439533,5600
1692433935,9592
42439537,9866
42439542,7923
42436796,7908
42452396,9942
42433587,9876
42449817,4680
42433356,4412
42456303,9476
42449045,9601
42439406,5086
42427996,7020
42427979,7563
42427975,8708
42427972,8607
42427970,9886
